T [°R],Density [lbm/ft³],Viscosity [poise],Cp [BTU/lbm-°R],Conductivity [BTU/hr-ft-°F],Surface Tension [lbf/in],dHvap [BTU/lbm]
125.250501002004,77.61008385607896,0.003936775440158353,0.40105432647717715,0.10424271755101701,7.52226710455e-05,99.31104196071516
125.60120240480961,77.5555363582812,0.003906616495015435,0.4010614177880154,0.10408230886497549,7.52226710455e-05,99.24414503101674
125.95190380761522,77.50097225944229,0.003876829368729312,0.401068720616346,0.10392189372273283,7.52226710455e-05,99.17718649386522
126.30260521042084,77.4463925807976,0.0038474093273154963,0.4010762724753052,0.1037614716994046,7.52226710455e-05,99.11016466175835
126.65330661322645,77.39179548667731,0.0038183464197714635,0.4010838218857179,0.10360104979369157,7.52226710455e-05,99.04309976475433
127.00400801603206,77.33717709404182,0.0037896283503987653,0.40109100521944835,0.10344063721819434,7.52226710455e-05,98.97601904427059
127.35470941883767,77.28253688754872,0.0037612500140703827,0.40109786012979537,0.10328023245146369,7.52226710455e-05,98.90891835365888
127.70541082164328,77.22787437642432,0.0037332064381267274,0.4011044269475614,0.1031198339018667,7.52226710455e-05,98.84179334005934
128.0561122244489,77.17318906996933,0.003705492732579422,0.40111074600354896,0.10295943997777054,7.52226710455e-05,98.77463965061209
128.4068136272545,77.11848047755826,0.0036781040885575157,0.40111685762856075,0.10279904908754227,7.52226710455e-05,98.70745293245726
128.75751503006012,77.0637481086391,0.0036510357767856995,0.40112280215339924,0.10263865963954899,7.52226710455e-05,98.64022883273492
129.10821643286573,77.00899147273297,0.0036242831460938023,0.40112861990886695,0.10247827004215782,7.52226710455e-05,98.57296299858524
129.45891783567134,76.95421007943361,0.0035978416219569305,0.40113435122576635,0.10231787870373586,7.52226710455e-05,98.50565107714829
129.80961923847696,76.89940343840703,0.0035717067050654583,0.4011400364349,0.10215748403265022,7.52226710455e-05,98.4382887155642
130.16032064128257,76.84457105939136,0.0035458739699242674,0.40114571586707054,0.101997084437268,7.52226710455e-05,98.37087156097307
130.51102204408818,76.78971245219597,0.0035203390634806347,0.4011514298530804,0.10183667832595632,7.52226710455e-05,98.30339526051506
130.8617234468938,76.7348271267016,0.0034950977037800264,0.40115721872373217,0.10167626410708225,7.52226710455e-05,98.23585546133023
